2023.08.11 20:50:14,594	INFO	165	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.11 20:50:14,594	INFO	165	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.11 20:50:14,595	INFO	165	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.11 20:50:14,595	INFO	165	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.11 20:50:14,595	INFO	165	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.11 20:50:14,595	INFO	165	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.11 20:50:14,595	INFO	165	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.11 20:50:14,595	INFO	165	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.11 20:54:32,425	INFO	165	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.11 20:54:32,426	INFO	165	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.11 20:55:15,546	INFO	166	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.11 20:55:15,547	INFO	166	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.11 20:55:15,547	INFO	166	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.11 20:55:15,547	INFO	166	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.11 20:55:15,548	INFO	166	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.11 20:55:15,548	INFO	166	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.11 20:55:15,548	INFO	166	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.11 20:55:15,548	INFO	166	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.11 21:36:50,840	INFO	166	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.11 21:36:50,843	INFO	166	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.11 21:37:40,760	INFO	188	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.11 21:37:40,760	INFO	188	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.11 21:37:40,760	INFO	188	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.11 21:37:40,760	INFO	188	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.11 21:37:40,760	INFO	188	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.11 21:37:40,761	INFO	188	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.11 21:37:40,761	INFO	188	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.11 21:37:40,761	INFO	188	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.11 21:47:58,074	INFO	188	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.11 21:47:58,075	INFO	188	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.11 21:55:42,521	INFO	197	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.11 21:55:42,522	INFO	197	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.11 21:55:42,522	INFO	197	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.11 21:55:42,522	INFO	197	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.11 21:55:42,522	INFO	197	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.11 21:55:42,522	INFO	197	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.11 21:55:42,522	INFO	197	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.11 21:55:42,522	INFO	197	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.11 22:02:31,929	INFO	197	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.11 22:02:31,929	INFO	197	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.11 22:15:24,065	INFO	207	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.11 22:15:24,065	INFO	207	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.11 22:15:24,065	INFO	207	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.11 22:15:24,066	INFO	207	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.11 22:15:24,066	INFO	207	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.11 22:15:24,066	INFO	207	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.11 22:15:24,067	INFO	207	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.11 22:15:24,067	INFO	207	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.11 22:49:13,153	INFO	207	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.11 22:49:13,155	INFO	207	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.11 22:49:54,107	INFO	225	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.11 22:49:54,107	INFO	225	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.11 22:49:54,107	INFO	225	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.11 22:49:54,107	INFO	225	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.11 22:49:54,107	INFO	225	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.11 22:49:54,107	INFO	225	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.11 22:49:54,108	INFO	225	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.11 22:49:54,108	INFO	225	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.12 00:23:03,893	INFO	225	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.12 00:23:03,896	INFO	225	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.12 00:25:16,642	INFO	272	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.12 00:25:16,642	INFO	272	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.12 00:25:16,642	INFO	272	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.12 00:25:16,642	INFO	272	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.12 00:25:16,642	INFO	272	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
